Month,Insurer,Premium_Rs_Crore,No_of_Policies
2021-07,Star Union Dai-ichi,173.75,16850
2021-08,Star Union Dai-ichi,170.19,18388
2021-09,Star Union Dai-ichi,153.14,15582
2021-10,Star Union Dai-ichi,182.09,18263
2021-11,Star Union Dai-ichi,174.57,20917
2021-12,Star Union Dai-ichi,178.75,16850
2022-01,Star Union Dai-ichi,213.59,21347
2022-02,Star Union Dai-ichi,188.49,18423
2022-03,Star Union Dai-ichi,252.2,28506
2022-04,Star Union Dai-ichi,133.19,13442
2022-05,Star Union Dai-ichi,157.29,14723
2022-06,Star Union Dai-ichi,194.43,19309
2022-07,Star Union Dai-ichi,192.86,20241
2022-08,Star Union Dai-ichi,186.42,20483
2022-09,Star Union Dai-ichi,209.5,19735
2022-10,Star Union Dai-ichi,185.96,17181
2022-11,Star Union Dai-ichi,196.65,18857
2022-12,Star Union Dai-ichi,203.56,19460
2023-01,Star Union Dai-ichi,189.85,17467
2023-02,Star Union Dai-ichi,209.62,17825
2023-03,Star Union Dai-ichi,280.62,30229
2023-04,Star Union Dai-ichi,161.19,17620
2023-05,Star Union Dai-ichi,175.16,16322
2023-06,Star Union Dai-ichi,190.5,19546
2023-07,Star Union Dai-ichi,207.8,18309
2023-08,Star Union Dai-ichi,205.93,17875
2023-09,Star Union Dai-ichi,215.15,22924
2023-10,Star Union Dai-ichi,205.13,19545
2023-11,Star Union Dai-ichi,211.28,21710
2023-12,Star Union Dai-ichi,221.85,23711
2024-01,Star Union Dai-ichi,177.94,17155
2024-02,Star Union Dai-ichi,235.41,26459
2024-03,Star Union Dai-ichi,329.13,33848
2024-04,Star Union Dai-ichi,142.62,14211
2024-05,Star Union Dai-ichi,181.42,17537
2024-06,Star Union Dai-ichi,221.37,23055
2024-07,Star Union Dai-ichi,233.48,23142
2024-08,Star Union Dai-ichi,202.16,19988
2024-09,Star Union Dai-ichi,231.02,22354
2024-10,Star Union Dai-ichi,223.59,22644
2024-11,Star Union Dai-ichi,188.36,21309
2024-12,Star Union Dai-ichi,233.45,25775
2025-01,Star Union Dai-ichi,200.93,18507
2025-02,Star Union Dai-ichi,185.83,20593
2025-03,Star Union Dai-ichi,332.39,32988
2025-04,Star Union Dai-ichi,163.44,15840
2025-05,Star Union Dai-ichi,188.09,19884
2025-06,Star Union Dai-ichi,231.88,24089
2025-07,Star Union Dai-ichi,231.0,25832
2025-08,Star Union Dai-ichi,235.72,24571
2025-09,Star Union Dai-ichi,248.77,27477
2025-10,Star Union Dai-ichi,243.29,25045
2025-11,Star Union Dai-ichi,232.87,21795
2025-12,Star Union Dai-ichi,263.92,27802
2026-01,Star Union Dai-ichi,209.31,20196
2026-02,Star Union Dai-ichi,241.13,23600
2026-03,Star Union Dai-ichi,408.66,36327
2026-04,Star Union Dai-ichi,167.76,16841
2026-05,Star Union Dai-ichi,197.37,19618
2026-06,Star Union Dai-ichi,223.81,22448
2026-07,Star Union Dai-ichi,244.69,23253
2021-04,Canara HSBC Life,157.91,10736
2021-05,Canara HSBC Life,225.3,19246
2021-06,Canara HSBC Life,238.88,20250
2021-07,Canara HSBC Life,243.73,20084
2021-08,Canara HSBC Life,193.19,17219
2021-09,Canara HSBC Life,258.83,19319
2021-10,Canara HSBC Life,220.9,18145
2021-11,Canara HSBC Life,232.69,16836
2021-12,Canara HSBC Life,279.23,20716
2022-01,Canara HSBC Life,210.51,14977
2022-02,Canara HSBC Life,253.69,19296
2022-03,Canara HSBC Life,369.37,29247
2022-04,Canara HSBC Life,176.13,13392
2022-05,Canara HSBC Life,204.57,16917
2022-06,Canara HSBC Life,185.3,15666
2022-07,Canara HSBC Life,236.05,18616
2022-08,Canara HSBC Life,245.26,17990
2022-09,Canara HSBC Life,264.41,21761
2022-10,Canara HSBC Life,256.1,19571
2022-11,Canara HSBC Life,219.6,17990
2022-12,Canara HSBC Life,284.95,23082
2023-01,Canara HSBC Life,251.04,19614
2023-02,Canara HSBC Life,233.03,18117
2023-03,Canara HSBC Life,410.82,30915
2023-04,Canara HSBC Life,181.84,13622
2023-05,Canara HSBC Life,186.75,14157
2023-06,Canara HSBC Life,246.94,18711
2023-07,Canara HSBC Life,285.82,23843
2023-08,Canara HSBC Life,273.12,18934
2023-09,Canara HSBC Life,297.68,23870
2023-10,Canara HSBC Life,253.45,19540
2023-11,Canara HSBC Life,258.94,19678
2023-12,Canara HSBC Life,286.66,22023
2024-01,Canara HSBC Life,257.88,19593
2024-02,Canara HSBC Life,267.89,18904
2024-03,Canara HSBC Life,413.92,34073
2024-04,Canara HSBC Life,223.83,18182
2024-05,Canara HSBC Life,263.69,20509
2024-06,Canara HSBC Life,281.52,18692
2024-07,Canara HSBC Life,244.11,17482
2024-08,Canara HSBC Life,306.0,24236
2024-09,Canara HSBC Life,307.28,24405
2024-10,Canara HSBC Life,355.38,28264
2024-11,Canara HSBC Life,294.02,24519
2024-12,Canara HSBC Life,326.2,23042
2025-01,Canara HSBC Life,233.56,17103
2025-02,Canara HSBC Life,302.24,20828
2025-03,Canara HSBC Life,483.52,35811
2025-04,Canara HSBC Life,246.37,19067
2025-05,Canara HSBC Life,292.05,19912
2025-06,Canara HSBC Life,317.92,26357
2025-07,Canara HSBC Life,351.15,30332
2025-08,Canara HSBC Life,308.24,22558
2025-09,Canara HSBC Life,333.36,28909
2025-10,Canara HSBC Life,345.43,28887
2025-11,Canara HSBC Life,367.36,31077
2025-12,Canara HSBC Life,341.82,23998
2026-01,Canara HSBC Life,335.75,27947
2026-02,Canara HSBC Life,339.52,27179
2026-03,Canara HSBC Life,489.39,38661
2026-04,Canara HSBC Life,243.42,18523
2026-05,Canara HSBC Life,283.05,22620
2026-06,Canara HSBC Life,317.23,27187
2026-07,Canara HSBC Life,376.54,32116
2021-04,Pramerica Life,72.12,7538
2021-05,Pramerica Life,78.45,8211
2021-06,Pramerica Life,88.12,8963
2021-07,Pramerica Life,88.53,10159
2021-08,Pramerica Life,91.32,10026
2021-09,Pramerica Life,92.35,10296
2021-10,Pramerica Life,94.92,10525
2021-11,Pramerica Life,99.19,10652
2021-12,Pramerica Life,106.24,11504
2022-01,Pramerica Life,89.85,8946
2022-02,Pramerica Life,89.32,9282
2022-03,Pramerica Life,146.07,15753
2022-04,Pramerica Life,69.83,8456
2022-05,Pramerica Life,79.92,8593
2022-06,Pramerica Life,86.68,9583
2022-07,Pramerica Life,98.24,10744
2022-08,Pramerica Life,84.59,9972
2022-09,Pramerica Life,104.03,11697
2022-10,Pramerica Life,102.65,11239
2022-11,Pramerica Life,85.12,9314
2022-12,Pramerica Life,109.19,11958
2023-01,Pramerica Life,91.81,9669
2023-02,Pramerica Life,96.51,10567
2023-03,Pramerica Life,146.17,15848
2023-04,Pramerica Life,60.34,6730
2023-05,Pramerica Life,77.01,8474
2023-06,Pramerica Life,90.34,9081
2023-07,Pramerica Life,103.61,11625
2023-08,Pramerica Life,105.06,11977
2023-09,Pramerica Life,99.58,11770
2023-10,Pramerica Life,107.21,11527
2023-11,Pramerica Life,99.68,10611
2023-12,Pramerica Life,116.46,12702
2024-01,Pramerica Life,91.91,9842
2024-02,Pramerica Life,97.58,10220
2024-03,Pramerica Life,211.7,23939
2024-04,Pramerica Life,71.6,9095
2024-05,Pramerica Life,85.45,8587
2024-06,Pramerica Life,101.27,11118
2024-07,Pramerica Life,93.65,9629
2024-08,Pramerica Life,106.31,13520
2024-09,Pramerica Life,103.53,10867
2024-10,Pramerica Life,98.92,10962
2024-11,Pramerica Life,99.35,10464
2024-12,Pramerica Life,102.57,9835
2025-01,Pramerica Life,109.07,12018
2025-02,Pramerica Life,111.31,12662
2025-03,Pramerica Life,166.96,17277
2025-04,Pramerica Life,77.06,11854
2025-05,Pramerica Life,86.35,9323
2025-06,Pramerica Life,102.47,10995
2025-07,Pramerica Life,93.43,10219
2025-08,Pramerica Life,105.84,10922
2025-09,Pramerica Life,122.01,12375
2025-10,Pramerica Life,115.09,11794
2025-11,Pramerica Life,103.69,11596
2025-12,Pramerica Life,123.58,17264
2026-01,Pramerica Life,97.58,11874
2026-02,Pramerica Life,119.81,12492
2026-03,Pramerica Life,158.96,18674
2026-04,Pramerica Life,86.99,9237
2026-05,Pramerica Life,102.64,11638
2026-06,Pramerica Life,119.65,15415
2026-07,Pramerica Life,116.87,13883
2021-04,Bharti AXA Life,88.89,9313
2021-05,Bharti AXA Life,106.33,12086
2021-06,Bharti AXA Life,121.43,11409
2021-07,Bharti AXA Life,135.69,10865
2021-08,Bharti AXA Life,126.88,11752
2021-09,Bharti AXA Life,129.84,12487
2021-10,Bharti AXA Life,121.66,11541
2021-11,Bharti AXA Life,112.73,12361
2021-12,Bharti AXA Life,137.55,12795
2022-01,Bharti AXA Life,113.66,10788
2022-02,Bharti AXA Life,124.82,13039
2022-03,Bharti AXA Life,189.41,19049
2022-04,Bharti AXA Life,89.53,8638
2022-05,Bharti AXA Life,112.11,10718
2022-06,Bharti AXA Life,132.36,13194
2022-07,Bharti AXA Life,129.75,13545
2022-08,Bharti AXA Life,116.51,11917
2022-09,Bharti AXA Life,129.37,13896
2022-10,Bharti AXA Life,132.75,12467
2022-11,Bharti AXA Life,126.28,14177
2022-12,Bharti AXA Life,135.07,14236
2023-01,Bharti AXA Life,110.94,12440
2023-02,Bharti AXA Life,135.6,14572
2023-03,Bharti AXA Life,194.07,22477
2023-04,Bharti AXA Life,91.03,9223
2023-05,Bharti AXA Life,111.75,10743
2023-06,Bharti AXA Life,115.28,11067
2023-07,Bharti AXA Life,127.82,12521
2023-08,Bharti AXA Life,124.95,14419
2023-09,Bharti AXA Life,138.8,14776
2023-10,Bharti AXA Life,147.27,15486
2023-11,Bharti AXA Life,112.18,12119
2023-12,Bharti AXA Life,132.94,14038
2024-01,Bharti AXA Life,116.17,12631
2024-02,Bharti AXA Life,132.11,12805
2024-03,Bharti AXA Life,201.7,20618
2024-04,Bharti AXA Life,105.93,9631
2024-05,Bharti AXA Life,120.72,13292
2024-06,Bharti AXA Life,116.88,10881
2024-07,Bharti AXA Life,144.64,14156
2024-08,Bharti AXA Life,132.3,12943
2024-09,Bharti AXA Life,153.12,14001
2024-10,Bharti AXA Life,140.78,14372
2024-11,Bharti AXA Life,135.71,13638
2024-12,Bharti AXA Life,142.12,13749
2025-01,Bharti AXA Life,127.71,12951
2025-02,Bharti AXA Life,139.27,13719
2025-03,Bharti AXA Life,211.2,24234
2025-04,Bharti AXA Life,101.17,10187
2025-05,Bharti AXA Life,110.43,10465
2025-06,Bharti AXA Life,102.85,9837
2025-07,Bharti AXA Life,133.49,15708
2025-08,Bharti AXA Life,152.73,13507
2025-09,Bharti AXA Life,156.74,16102
2025-10,Bharti AXA Life,130.01,13058
2025-11,Bharti AXA Life,139.15,17374
2025-12,Bharti AXA Life,147.73,13219
2026-01,Bharti AXA Life,128.25,11809
2026-02,Bharti AXA Life,150.67,15358
2026-03,Bharti AXA Life,225.53,20469
2026-04,Bharti AXA Life,107.53,11182
2026-05,Bharti AXA Life,135.7,13569
2026-06,Bharti AXA Life,142.93,15971
2026-07,Bharti AXA Life,143.25,14360
2021-04,Shriram Life,57.17,7772
2021-05,Shriram Life,81.83,10648
2021-06,Shriram Life,100.48,12226
2021-07,Shriram Life,97.24,11842
2021-08,Shriram Life,93.42,12502
2021-09,Shriram Life,93.74,11237
2021-10,Shriram Life,108.05,12939
2021-11,Shriram Life,91.53,12841
2021-12,Shriram Life,107.65,14440
2022-01,Shriram Life,88.03,10991
2022-02,Shriram Life,108.57,13066
2022-03,Shriram Life,159.68,17706
2022-04,Shriram Life,78.49,10596
2022-05,Shriram Life,84.91,10017
2022-06,Shriram Life,107.64,12533
2022-07,Shriram Life,105.74,12783
2022-08,Shriram Life,104.54,13397
2022-09,Shriram Life,104.34,12444
2022-10,Shriram Life,102.12,13368
2022-11,Shriram Life,104.89,12659
2022-12,Shriram Life,104.7,15403
2023-01,Shriram Life,108.51,12508
2023-02,Shriram Life,91.8,11472
2023-03,Shriram Life,179.02,19003
2023-04,Shriram Life,76.41,9359
2023-05,Shriram Life,98.47,13156
2023-06,Shriram Life,113.34,14437
2023-07,Shriram Life,71.73,8784
2023-08,Shriram Life,115.09,13456
2023-09,Shriram Life,118.97,14450
2023-10,Shriram Life,120.47,14394
2023-11,Shriram Life,108.94,12050
2023-12,Shriram Life,120.11,15351
2024-01,Shriram Life,114.75,11477
2024-02,Shriram Life,140.89,22079
2024-03,Shriram Life,197.35,25605
2024-04,Shriram Life,84.33,9804
2024-05,Shriram Life,98.03,12049
2024-06,Shriram Life,112.23,12664
2024-07,Shriram Life,107.24,12772
2024-08,Shriram Life,110.05,15591
2024-09,Shriram Life,123.48,18742
2024-10,Shriram Life,101.06,11724
2024-11,Shriram Life,119.28,14553
2024-12,Shriram Life,124.06,15204
2025-01,Shriram Life,115.18,15097
2025-02,Shriram Life,131.4,13462
2025-03,Shriram Life,155.92,18354
2025-04,Shriram Life,98.55,11667
2025-05,Shriram Life,108.81,13730
2025-06,Shriram Life,122.54,14945
2025-07,Shriram Life,134.13,16359
2025-08,Shriram Life,118.33,14335
2025-09,Shriram Life,127.77,14861
2025-10,Shriram Life,123.91,16526
2025-11,Shriram Life,130.42,16508
2025-12,Shriram Life,130.3,14522
2026-01,Shriram Life,129.41,15438
2026-02,Shriram Life,121.37,14162
2026-03,Shriram Life,188.81,21684
2026-04,Shriram Life,99.8,13499
2026-05,Shriram Life,103.84,12368
2026-06,Shriram Life,132.63,15788
2026-07,Shriram Life,128.05,14358
